encoder,noise,ece,brier_score,log_loss,accuracy
basis,0.0,0.0015982897406529029,3.406040126768916e-06,0.0015995683682937943,1.0
basis,0.05,0.02330171025934713,0.04969727960134742,0.18924183132846248,0.9751
basis,0.1,0.04870171025934711,0.10038902210958052,0.38065201121554215,0.9497
basis,0.2,0.09690171025934713,0.19658358860158193,0.7438792029697644,0.9015
angle,0.0,0.002017206934751492,0.5128140528362488,0.9735119324987583,0.6664
angle,0.05,0.022606267870198926,0.5398620248626547,1.017524133728683,0.6418
angle,0.1,0.0485104683525438,0.5684465536702142,1.0640353028173684,0.6159
angle,0.2,0.09963853456004257,0.6243612204904321,1.1538559506455306,0.5647
amplitude,0.0,0.019565472909957915,0.5174944850735709,0.9809816835931965,0.663
amplitude,0.05,0.058096413660140844,0.5618632340403195,1.0536767824594273,0.6245
amplitude,0.1,0.09595082539653144,0.6056687733078759,1.1263134521991098,0.5866
amplitude,0.2,0.1750539847124275,0.6982601805590233,1.2833109586100029,0.5075
