encoder,noise,true_label,predicted_label,count
basis,0.0,00,00,2500
basis,0.0,00,01,0
basis,0.0,00,10,0
basis,0.0,00,11,0
basis,0.0,01,00,0
basis,0.0,01,01,2500
basis,0.0,01,10,0
basis,0.0,01,11,0
basis,0.0,10,00,0
basis,0.0,10,01,0
basis,0.0,10,10,2500
basis,0.0,10,11,0
basis,0.0,11,00,0
basis,0.0,11,01,0
basis,0.0,11,10,0
basis,0.0,11,11,2500
basis,0.05,00,00,2500
basis,0.05,00,01,0
basis,0.05,00,10,0
basis,0.05,00,11,0
basis,0.05,01,00,80
basis,0.05,01,01,2420
basis,0.05,01,10,0
basis,0.05,01,11,0
basis,0.05,10,00,63
basis,0.05,10,01,0
basis,0.05,10,10,2437
basis,0.05,10,11,0
basis,0.05,11,00,3
basis,0.05,11,01,51
basis,0.05,11,10,52
basis,0.05,11,11,2394
basis,0.1,00,00,2500
basis,0.1,00,01,0
basis,0.1,00,10,0
basis,0.1,00,11,0
basis,0.1,01,00,113
basis,0.1,01,01,2387
basis,0.1,01,10,0
basis,0.1,01,11,0
basis,0.1,10,00,110
basis,0.1,10,01,0
basis,0.1,10,10,2390
basis,0.1,10,11,0
basis,0.1,11,00,9
basis,0.1,11,01,136
basis,0.1,11,10,135
basis,0.1,11,11,2220
basis,0.2,00,00,2500
basis,0.2,00,01,0
basis,0.2,00,10,0
basis,0.2,00,11,0
basis,0.2,01,00,233
basis,0.2,01,01,2267
basis,0.2,01,10,0
basis,0.2,01,11,0
basis,0.2,10,00,266
basis,0.2,10,01,0
basis,0.2,10,10,2234
basis,0.2,10,11,0
basis,0.2,11,00,31
basis,0.2,11,01,215
basis,0.2,11,10,240
basis,0.2,11,11,2014
angle,0.0,00,00,1697
angle,0.0,00,01,330
angle,0.0,00,10,395
angle,0.0,00,11,78
angle,0.0,01,00,391
angle,0.0,01,01,1610
angle,0.0,01,10,115
angle,0.0,01,11,384
angle,0.0,10,00,399
angle,0.0,10,01,61
angle,0.0,10,10,1690
angle,0.0,10,11,350
angle,0.0,11,00,80
angle,0.0,11,01,373
angle,0.0,11,10,380
angle,0.0,11,11,1667
angle,0.05,00,00,1582
angle,0.05,00,01,397
angle,0.05,00,10,426
angle,0.05,00,11,95
angle,0.05,01,00,421
angle,0.05,01,01,1554
angle,0.05,01,10,116
angle,0.05,01,11,409
angle,0.05,10,00,380
angle,0.05,10,01,94
angle,0.05,10,10,1664
angle,0.05,10,11,362
angle,0.05,11,00,96
angle,0.05,11,01,402
angle,0.05,11,10,384
angle,0.05,11,11,1618
angle,0.1,00,00,1532
angle,0.1,00,01,406
angle,0.1,00,10,455
angle,0.1,00,11,107
angle,0.1,01,00,389
angle,0.1,01,01,1517
angle,0.1,01,10,154
angle,0.1,01,11,440
angle,0.1,10,00,443
angle,0.1,10,01,105
angle,0.1,10,10,1562
angle,0.1,10,11,390
angle,0.1,11,00,123
angle,0.1,11,01,407
angle,0.1,11,10,422
angle,0.1,11,11,1548
angle,0.2,00,00,1406
angle,0.2,00,01,496
angle,0.2,00,10,468
angle,0.2,00,11,130
angle,0.2,01,00,472
angle,0.2,01,01,1382
angle,0.2,01,10,184
angle,0.2,01,11,462
angle,0.2,10,00,455
angle,0.2,10,01,150
angle,0.2,10,10,1441
angle,0.2,10,11,454
angle,0.2,11,00,134
angle,0.2,11,01,488
angle,0.2,11,10,460
angle,0.2,11,11,1418
amplitude,0.0,00,00,1661
amplitude,0.0,00,01,353
amplitude,0.0,00,10,390
amplitude,0.0,00,11,96
amplitude,0.0,01,00,388
amplitude,0.0,01,01,1603
amplitude,0.0,01,10,107
amplitude,0.0,01,11,402
amplitude,0.0,10,00,376
amplitude,0.0,10,01,73
amplitude,0.0,10,10,1715
amplitude,0.0,10,11,336
amplitude,0.0,11,00,81
amplitude,0.0,11,01,394
amplitude,0.0,11,10,374
amplitude,0.0,11,11,1651
amplitude,0.05,00,00,1614
amplitude,0.05,00,01,372
amplitude,0.05,00,10,407
amplitude,0.05,00,11,107
amplitude,0.05,01,00,427
amplitude,0.05,01,01,1510
amplitude,0.05,01,10,132
amplitude,0.05,01,11,431
amplitude,0.05,10,00,431
amplitude,0.05,10,01,127
amplitude,0.05,10,10,1566
amplitude,0.05,10,11,376
amplitude,0.05,11,00,121
amplitude,0.05,11,01,412
amplitude,0.05,11,10,412
amplitude,0.05,11,11,1555
amplitude,0.1,00,00,1490
amplitude,0.1,00,01,431
amplitude,0.1,00,10,440
amplitude,0.1,00,11,139
amplitude,0.1,01,00,437
amplitude,0.1,01,01,1433
amplitude,0.1,01,10,171
amplitude,0.1,01,11,459
amplitude,0.1,10,00,456
amplitude,0.1,10,01,151
amplitude,0.1,10,10,1472
amplitude,0.1,10,11,421
amplitude,0.1,11,00,171
amplitude,0.1,11,01,421
amplitude,0.1,11,10,437
amplitude,0.1,11,11,1471
amplitude,0.2,00,00,1268
amplitude,0.2,00,01,498
amplitude,0.2,00,10,486
amplitude,0.2,00,11,248
amplitude,0.2,01,00,533
amplitude,0.2,01,01,1235
amplitude,0.2,01,10,250
amplitude,0.2,01,11,482
amplitude,0.2,10,00,469
amplitude,0.2,10,01,253
amplitude,0.2,10,10,1297
amplitude,0.2,10,11,481
amplitude,0.2,11,00,272
amplitude,0.2,11,01,462
amplitude,0.2,11,10,491
amplitude,0.2,11,11,1275
