encoder,feature,importance
basis,b0,0.23330558135225662
basis,b1,0.2161984535940541
basis,parity,0.18941672852359326
basis,weight,0.23372825960036012
basis,correlation,0.1273509769297359
angle,b0,0.2760285399175352
angle,b1,0.27017473579371776
angle,parity,0.16414063470905607
angle,weight,0.18050502932038504
angle,correlation,0.109151060259306
amplitude,b0,0.29036405834564905
amplitude,b1,0.1696603395393329
amplitude,parity,0.24994668176111418
amplitude,weight,0.1752778990268966
amplitude,correlation,0.11475102132700728
