encoder,noise,accuracy,mean_entropy,log_loss,misclassifications,n
basis,0.0,1.0,0.013644014300123325,0.0015995683682937943,0,10000
basis,0.05,0.9751,0.013644014300123325,0.18924183132846248,249,10000
basis,0.1,0.9497,0.013644014300123325,0.38065201121554215,503,10000
basis,0.2,0.9015,0.013644014300123325,0.7438792029697644,985,10000
angle,0.0,0.6664,0.9977531650042498,0.9735119324987583,3336,10000
angle,0.05,0.6418,0.997697420185423,1.017524133728683,3582,10000
angle,0.1,0.6159,0.9976893396417916,1.0640353028173684,3841,10000
angle,0.2,0.5647,0.9978346872501086,1.1538559506455306,4353,10000
amplitude,0.0,0.663,0.9638703239014998,0.9809816835931965,3370,10000
amplitude,0.05,0.6245,0.9638205402773811,1.0536767824594273,3755,10000
amplitude,0.1,0.5866,0.963915686835726,1.1263134521991098,4134,10000
amplitude,0.2,0.5075,0.9639159378671956,1.2833109586100029,4925,10000
