encoder,noise,encoding_seconds_per_input,decoding_seconds_per_instance
basis,0.0,3.487387549935761e-05,7.75563760000182e-06
basis,0.05,6.596265950025782e-05,1.1122111400004541e-05
basis,0.1,5.883525649991839e-05,8.664812500001062e-06
basis,0.2,5.641571200047224e-05,8.8006547999953e-06
angle,0.0,6.150063149982543e-05,1.2139294400003563e-05
angle,0.05,0.00013250759850012627,1.123576329999878e-05
angle,0.1,0.00015412665650066514,1.1006748199997673e-05
angle,0.2,0.00010324333100055582,1.1065680399997291e-05
amplitude,0.0,7.017073500105653e-05,1.1026375599999483e-05
amplitude,0.05,0.00011859468449995347,9.98789669999951e-06
amplitude,0.1,0.00010871262300025819,1.2181279000003541e-05
amplitude,0.2,0.00010610359149936244,9.895962999996754e-06
